

This is the final analysis:
The best mean reward is 138.7073737742625 after episode 5038

Statistics for episode 1750
         customer/purchases_new/vendor_4:  126.86 (mean),  126.00 (median),   13.16 (std),   88.00 (min),  171.00 (max)
 customer/purchases_refurbished/vendor_0:   78.19 (mean),   76.00 (median),   18.38 (std),   36.00 (min),  120.00 (max)
 customer/purchases_refurbished/vendor_1:  132.23 (mean),  133.00 (median),   20.24 (std),   64.00 (min),  181.00 (max)
 customer/purchases_refurbished/vendor_2:   84.87 (mean),   86.00 (median),   13.10 (std),   42.00 (min),  123.00 (max)
 customer/purchases_refurbished/vendor_3:   54.52 (mean),   54.00 (median),    8.04 (std),   30.00 (min),   78.00 (max)
 customer/purchases_refurbished/vendor_4:  129.97 (mean),  132.00 (median),   23.40 (std),   60.00 (min),  184.00 (max)
                   owner/rebuys/vendor_0:   42.86 (mean),   42.00 (median),   13.43 (std),   11.00 (min),   82.00 (max)
                   owner/rebuys/vendor_1:   87.56 (mean),   87.00 (median),   19.56 (std),   34.00 (min),  145.00 (max)
                   owner/rebuys/vendor_2:   52.20 (mean),   50.50 (median),   18.29 (std),   12.00 (min),  101.00 (max)
                   owner/rebuys/vendor_3:  186.17 (mean),  181.00 (median),   60.26 (std),   77.00 (min),  330.00 (max)
                   owner/rebuys/vendor_4:   87.45 (mean),   85.00 (median),   21.54 (std),   34.00 (min),  161.00 (max)
                        owner/throw_away:    5.24 (mean),    5.00 (median),    2.62 (std),    0.00 (min),   14.00 (max)
                    profits/all/vendor_0:  138.71 (mean),  155.97 (median),   83.18 (std), -487.55 (min),  256.19 (max)
                    profits/all/vendor_1:  102.04 (mean),  113.76 (median),   55.15 (std), -311.48 (min),  197.70 (max)
                    profits/all/vendor_2:   -8.01 (mean),    4.35 (median),   55.04 (std), -255.00 (min),   81.00 (max)
                    profits/all/vendor_3: -455.27 (mean), -475.25 (median),  206.20 (std), -859.90 (min),   78.80 (max)
                    profits/all/vendor_4:   24.95 (mean),   32.81 (median),   63.46 (std), -324.55 (min),  148.65 (max)
         profits/by_selling_new/vendor_0:  138.27 (mean),  147.20 (median),   47.53 (std), -194.82 (min),  200.99 (max)
         profits/by_selling_new/vendor_1:  140.35 (mean),  141.00 (median),   13.39 (std),  109.00 (min),  183.00 (max)
         profits/by_selling_new/vendor_2:   24.67 (mean),   22.00 (median),   18.85 (std),    0.00 (min),   94.00 (max)
         profits/by_selling_new/vendor_3:  173.00 (mean),  172.00 (median),   23.82 (std),  108.00 (min),  252.00 (max)
         profits/by_selling_new/vendor_4:  151.50 (mean),  152.38 (median),   15.24 (std),   97.88 (min),  205.25 (max)
 profits/by_selling_refurbished/vendor_0:  169.85 (mean),  179.29 (median),   55.87 (std), -203.76 (min),  249.48 (max)
