

This is the final analysis:
The best mean reward is 252.15700151594578 after episode 20000

Statistics for episode 5000
               state/in_storage/vendor_4:   16.24 (mean),   13.97 (median),    8.24 (std),    5.50 (min),   44.20 (max)

Statistics for episode 15000
                                a/reward:  237.57 (mean),  246.25 (median),   59.04 (std), -210.44 (min),  366.78 (max)
              actions/price_new/vendor_0:    5.12 (mean),    5.12 (median),    0.32 (std),    4.12 (min),    5.78 (max)
              actions/price_new/vendor_1:    4.00 (mean),    4.00 (median),    0.01 (std),    4.00 (min),    4.03 (max)
              actions/price_new/vendor_2:    8.46 (mean),    8.46 (median),    0.30 (std),    7.70 (min),    8.90 (max)
              actions/price_new/vendor_3:    5.96 (mean),    5.96 (median),    0.00 (std),    5.96 (min),    5.96 (max)
              actions/price_new/vendor_4:    4.56 (mean),    4.56 (median),    0.14 (std),    4.23 (min),    4.88 (max)
            actions/price_rebuy/vendor_0:    0.42 (mean),    0.40 (median),    0.25 (std),    0.02 (min),    1.28 (max)
            actions/price_rebuy/vendor_1:    1.10 (mean),    1.09 (median),    0.26 (std),    0.28 (min),    1.77 (max)
            actions/price_rebuy/vendor_2:    0.55 (mean),    0.52 (median),    0.38 (std),    0.02 (min),    2.02 (max)
            actions/price_rebuy/vendor_3:    1.98 (mean),    1.98 (median),    0.00 (std),    1.98 (min),    1.98 (max)
            actions/price_rebuy/vendor_4:    0.86 (mean),    0.85 (median),    0.29 (std),    0.16 (min),    1.70 (max)
      actions/price_refurbished/vendor_0:    2.76 (mean),    2.77 (median),    0.42 (std),    1.81 (min),    3.88 (max)
      actions/price_refurbished/vendor_1:    2.16 (mean),    2.15 (median),    0.27 (std),    1.52 (min),    2.98 (max)
      actions/price_refurbished/vendor_2:    2.54 (mean),    2.52 (median),    0.37 (std),    2.02 (min),    3.82 (max)
      actions/price_refurbished/vendor_3:    3.00 (mean),    3.00 (median),    0.00 (std),    3.00 (min),    3.00 (max)
      actions/price_refurbished/vendor_4:    3.29 (mean),    3.18 (median),    0.64 (std),    1.98 (min),    5.46 (max)
                    customer/buy_nothing:   58.87 (mean),   58.00 (median),    8.48 (std),   35.00 (min),   85.00 (max)
         customer/purchases_new/vendor_0:   97.83 (mean),   96.00 (median),   19.36 (std),   51.00 (min),  177.00 (max)
         customer/purchases_new/vendor_1:  154.22 (mean),  153.00 (median),   15.43 (std),  113.00 (min),  213.00 (max)
         customer/purchases_new/vendor_2:    8.12 (mean),    8.00 (median),    5.25 (std),    0.00 (min),   25.00 (max)
